,PLAYER,GP,MIN,DIST.FEET,DIST.MILES,DIST.MILESOFF,DIST.MILESDEF,AVGSPEED,AVGSPEEDOFF,AVGSPEEDDEF,LESSTHAN5FT.FGM,LESSTHAN5FT.FGA,LESSTHAN5FT.FG%,5-9FT.FGM,5-9FT.FGA,5-9FT.FG%,10-14FT.FGM,10-14FT.FGA,10-14FT.FG%,15-19FT.FGM,15-19FT.FGA,15-19FT.FG%,20-24FT.FGM,20-24FT.FGA,20-24FT.FG%,25-29FT.FGM,25-29FT.FGA,25-29FT.FG%,UNNAMED:0,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,AGE,SCREENASSISTS,SCREENASSISTSPTS,DEFLECTIONS,OFFLOOSEBALLSRECOVERED,DEFLOOSEBALLSRECOVERED,LOOSEBALLSRECOVERED,%LOOSEBALLSRECOVEREDOFF,%LOOSEBALLSRECOVEREDDEF,CHARGESDRAWN,CONTESTED2PTSHOTS,CONTESTED3PTSHOTS,CONTESTEDSHOTS,TEAM,W,L,PASSESMADE,PASSESRECEIVED,SECONDARYAST,POTENTIALAST,ASTPTSCREATED.1,ASTADJ,ASTTOPASS%,ASTTOPASS%ADJ,TOTALMIN,Player,2020/21
95,Domantas Sabonis,62,36.0,14235.6,2.7,1.43,1.26,4.21,4.58,3.85,1.8562979903656263,7.8,69.1,0.9,2.2,40.3,0.26236426446749106,1.0,33.3,0.26236426446749106,0.9,38.2,0.09531017980432493,0.4,26.9,0.7,2.2,32.4,41,20.3,7.8,14.6,53.5,0.5877866649021191,2.6,32.1,3.9,5.3,73.2,1.2237754316221157,2.3513752571634776,2.5649493574615367,3.4,0.7884573603642703,0.4054651081081644,3.3,46.6,48,9,-1.5,25,2.0149030205422647,15.2,1.1939224684724346,0.7,0.4,0.7419373447293773,61.5,38.5,0.03,2.1972245773362196,1.2809338454620642,10.6,IND,29,33,4.33729074083249,56.7,0.3,11.4,17.4,2.1400661634962708,8.9,9.9,2232.0,Domantas Sabonis,19800000
98,Dorian Finney-Smith,60,32.0,12456.5,2.36,1.26,1.1,4.23,4.39,4.04,0.9886113934537812,2.2,70.8,0.1,0.3,26.3,0.10660973505825827,0.1,50.0,0.0,0.1,12.5,0.8053591711668733,2.8,39.2,0.9,2.3,39.7,187,9.8,3.7,7.8,47.2,1.1786549963416462,5.0,39.4,0.5,0.7,75.6,1.0296194171811581,1.6629786793621302,1.9565674435293015,0.8,0.6993777303105815,0.371563556432483,2.3,22.0,1,0,3.3,28,0.7537718023763802,2.3,1.0690118188918187,0.4,0.4,0.6418538861723947,48.9,51.1,0.02,1.6629786793621302,1.33828514193353,6.3,DAL,36,24,3.544936910189097,23.4,0.3,3.4,4.5,1.2126847449279576,5.7,7.1,1920.0,Dorian Finney-Smith,4000000
99,Doug McDermott,66,24.5,10860.2,2.06,1.13,0.92,4.7,5.33,4.11,1.766267217283445,4.8,67.8,0.3,0.6,50.0,0.13709645878901877,0.2,41.7,0.0,0.1,25.0,0.6321398324519215,1.4,41.1,1.1,2.9,38.4,109,13.6,5.4,10.1,53.2,1.2521797080530528,4.3,38.8,1.2,1.5,81.6,0.8426222235816039,1.50995577680564,1.766267217283445,0.8,0.36520984638856974,0.13709645878901877,1.8,20.0,0,0,-0.7,29,0.13709645878901877,0.3,0.46232113307371925,0.2,0.1,0.46232113307371925,61.5,38.5,0.03,1.4074965687704935,1.2092648989077013,3.8,IND,32,34,3.2629512965972762,21.5,0.3,2.0,3.1,1.2092648989077013,7.5,9.5,1617.0,Doug McDermott,7333333
100,Draymond Green,63,31.5,11068.6,2.1,1.1,0.99,3.77,4.19,3.39,1.1174807729724925,2.9,63.3,0.2,0.6,34.3,0.0,0.3,12.5,0.10821358464023279,0.3,36.8,0.20585205420414882,0.5,31.3,0.4,1.5,26.1,282,7.0,2.7,6.0,44.7,0.4519851237430572,2.0,27.0,1.1,1.4,79.5,0.7073318155519017,2.0900988361538237,2.209843041295431,3.0,1.079380926740222,0.6493445579015523,3.1,33.4,17,6,3.8,31,1.488077055429833,7.7,1.4619317753255106,0.3,0.4,0.587786664902119,43.5,56.5,0.27,2.1714996860977833,1.5384021393173486,10.0,GSW,35,28,4.293585664874658,49.3,0.7,15.0,22.4,2.5472105331241552,14.0,16.2,1984.5,Draymond Green,22246956
102,Duncan Robinson,72,31.4,12622.4,2.39,1.33,1.06,4.29,4.81,3.79,0.5892010922949295,0.9,75.8,0.1,0.2,50.0,0.10854016857520597,0.2,42.9,0.0,0.1,22.2,0.8158719841271078,2.7,40.4,2.3,5.7,40.7,119,13.1,4.4,10.0,43.9,1.6119824430690952,8.5,40.8,0.9,1.0,82.7,0.10854016857520597,1.588845164157336,1.6119824430690952,1.1,0.5234840206379141,0.2956123281277584,2.5,21.4,1,0,1.6,27,0.8158719841271078,2.4,0.8653326142955073,0.2,0.3,0.5234840206379141,39.0,61.0,0.18,1.464375322210388,1.4905396054122158,5.9,MIA,40,32,3.4571401477249752,27.0,0.3,3.2,4.6,1.2911434043077021,6.6,8.7,2260.7999999999997,Duncan Robinson,1663861
103,Dwayne Bacon,72,25.7,9796.3,1.86,1.0,0.85,4.09,4.31,3.85,1.2978670546901598,3.5,53.2,0.4,1.2,37.3,0.5308571102003703,1.2,39.1,0.4448853424113495,1.2,36.0,0.35082126868727176,1.1,26.9,0.6,1.9,29.3,166,10.9,4.1,10.1,40.2,0.7517097097680245,2.9,28.5,2.0,2.4,82.4,0.4448853424113495,1.5648800246708152,1.6756773208727511,0.6,0.6100193035967132,0.13109652412184747,1.4,18.1,0,0,-6.2,25,0.13109652412184747,0.2,0.875792939010168,0.2,0.4,0.6100193035967132,38.6,61.4,0.0,1.335410567147563,1.4065165235010775,4.3,ORL,21,51,3.205715678804812,21.9,0.3,3.0,3.5,1.2182670403701723,7.6,9.8,1850.3999999999999,Dwayne Bacon,1678854
104,Dwight Howard,69,17.3,6472.6,1.23,0.67,0.56,3.97,4.21,3.71,1.718836506841207,3.5,62.1,0.2,0.4,61.5,0.0,0.1,28.6,0.18904265746703197,0.1,57.1,0.18904265746703197,0.1,50.0,0.0,0.2,21.4,287,7.0,2.6,4.4,58.7,0.18904265746703197,0.3,25.0,1.8,3.0,57.6,1.9208252216995831,2.554220600102562,2.9166765545620623,1.6,0.6056101793795017,1.0552984315988498,2.9,20.8,12,0,-1.0,35,2.0083304084414086,6.5,1.190588839628552,0.1,0.2,0.4850630748359668,38.9,61.1,0.0,2.2099879924652597,0.8102877491206673,4.5,PHI,46,23,3.884717154713797,13.5,0.1,1.2,2.1,1.190588839628552,3.9,4.6,1193.7,Dwight Howard,2564753
105,Dwight Powell,58,16.6,6637.4,1.26,0.68,0.57,4.22,4.5,3.93,1.6747291622485376,2.8,70.6,0.0,0.2,18.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,20.0,0.1,0.3,25.0,329,5.9,2.1,3.3,61.9,0.19627990904466155,0.4,23.8,1.7,2.1,78.2,1.3952899240284684,1.925039826329733,2.269514106150164,0.7,0.8334328202500321,0.7344509867011811,2.3,15.1,1,0,1.3,29,2.098830665115677,7.7,1.219514061537148,0.2,0.3,0.7344509867011811,41.4,58.6,0.0,2.375745973079901,1.633248561127819,6.5,DAL,36,22,3.7828195830120825,13.5,0.0,1.6,2.8,1.2816029655940886,5.5,6.2,962.8000000000001,Dwight Powell,11080125
107,E'Twaun Moore,27,14.4,6011.6,1.14,0.62,0.52,4.43,4.82,4.04,0.8109302162163288,1.1,43.3,0.5,1.1,44.8,0.6931471805599453,0.6,75.0,0.0,0.2,25.0,0.6931471805599453,0.9,45.8,0.2,0.7,27.8,375,4.9,2.0,4.5,45.5,0.6931471805599453,1.3,31.4,0.4,0.5,85.7,0.8109302162163288,1.3217558399823195,1.6582280766035324,0.9,0.9162907318741551,0.4054651081081644,1.2,10.5,0,0,0.3,32,0.22314355131420976,0.4,1.1786549963416462,0.2,0.3,0.8109302162163288,46.2,53.8,0.0,1.6094379124341003,1.3217558399823195,2.7,PHX,20,7,3.912023005428146,20.6,0.4,2.7,3.8,1.791759469228055,7.6,10.0,388.8,E'Twaun Moore,2331593
108,Edmond Sumner,53,16.3,6945.1,1.32,0.69,0.62,4.54,5.01,4.1,1.647950493845292,2.9,64.9,0.2,0.5,34.6,0.1995546239177301,0.1,42.9,0.0,0.1,16.7,0.6330975467804348,0.9,42.2,0.3,0.8,35.7,262,7.5,2.8,5.3,52.5,0.934528319423936,1.7,39.8,1.3,1.6,81.9,0.5083686200729385,1.4090398451088613,1.6045178533086506,1.0,0.843786004275664,0.3658353133373967,1.7,12.5,0,0,-0.6,25,0.1995546239177301,0.1,1.3535556617344509,0.2,0.3,0.7439802463591775,33.3,66.7,0.0,1.2323992723483368,1.0945139222758276,2.1,IND,23,30,3.306234789703934,15.2,0.1,1.8,2.6,1.2948112047388673,7.8,9.9,863.9000000000001,Edmond Sumner,2160000
